hometype,price,beds,baths,neighborhood,sqft,age
Condo/Co-op,899500,1,1,Van Ness/Civic Center,640,1
Condo/Co-op,799500,1,1,Van Ness/Civic Center,603,1
Condo/Co-op,839500,1,1,Van Ness/Civic Center,619,1
Condo/Co-op,850000,1,1,Russian Hill,792,36
Condo/Co-op,900000,1,1,Lower Pacific Height,685,118
Condo/Co-op,375000,1,1,Lower Pacific Height,718,26
Condo/Co-op,575000,1,1.5,Lower Pacific Height,1116,26
Condo/Co-op,885000,1,1,Central Waterfront,591,0
Condo/Co-op,885000,1,1,Potrero Hill,646,55
Condo/Co-op,746000,1,1,Russian Hill,510,108
Condo/Co-op,775000,1,1,Downtown,648,37
Condo/Co-op,725000,1,1,Nob Hill,656,40
Condo/Co-op,880000,1,1,North Beach,626,37
Condo/Co-op,444038,1,1,Western Addition,659,18
Condo/Co-op,950000,1,1,Jordan Park/Laurel Heights,884,89
Condo/Co-op,930000,1,1,Pacific Heights,779,128
Condo/Co-op,850000,1,1,Nob Hill,745,109
Condo/Co-op,888000,1,1,Outer Richmond,859,12
Condo/Co-op,855000,1,1,Pacific Heights,547,128
Condo/Co-op,929999,1,1,South Beach,722,14
Condo/Co-op,620000,1,1,North Waterfront,566,25
Condo/Co-op,900000,1,1,South Beach,842,10
Condo/Co-op,850000,1,1,South Beach,605,10
Condo/Co-op,740000,1,1,Downtown,835,96
Condo/Co-op,855000,1,1,South Beach,725,16
Condo/Co-op,870000,1,1,South Beach,675,16
Condo/Co-op,680000,1,1,Pacific Heights,542,58
Condo/Co-op,720000,1,1,Ingleside Heights,747,16
Condo/Co-op,675000,1,1,Ingleside Heights,747,16
Condo/Co-op,670000,1,1,Ingleside Heights,669,16
Condo/Co-op,830000,1,1,Mission Bay,916,14
Condo/Co-op,831000,1,1.5,Potrero Hill,725,11
Condo/Co-op,930000,1,1.5,Mission Bay,909,9
Condo/Co-op,808000,1,1.5,South of Market,643,15
Condo/Co-op,720000,1,1,South of Market,685,21
Condo/Co-op,935000,1,1.5,South of Market,1179,16
Condo/Co-op,795000,1,1,Mission Bay,748,14
Townhouse,900000,1,1.5,Mission Bay,909,9
Condo/Co-op,918000,1,1,Central Waterfront,721,0
Condo/Co-op,675000,1,1,South Beach,473,21
Condo/Co-op,685000,1,1,South Beach,658,27
Condo/Co-op,900000,1,1,South Beach,661,27
Condo/Co-op,750000,1,1,Eureka Valley/Dolore,659,118
Condo/Co-op,445000,1,1.5,Central Waterfront,962,15
Condo/Co-op,805000,1,1,Inner Mission,631,4
Condo/Co-op,947000,1,1,Hayes Valley,658,123
Condo/Co-op,775000,1,1,Noe Valley,434,128
Condo/Co-op,770000,1,1,Van Ness/Civic Center,836,30
Condo/Co-op,815000,1,1,Van Ness/Civic Center,750,30
Condo/Co-op,890000,1,1,Van Ness/Civic Center,900,52
Condo/Co-op,927000,1,1,Van Ness/Civic Center,840,52
Condo/Co-op,760000,1,1,South of Market,670,21
Condo/Co-op,760000,1,1,South of Market,671,7
Condo/Co-op,850000,1,1,South of Market,756,10
Condo/Co-op,840000,1,1,South of Market,765,10
Condo/Co-op,788000,1,1,South of Market,710,16
Condo/Co-op,814000,1,1,South of Market,795,16
Condo/Co-op,849000,1,1,Outer Sunset,739,45
Condo/Co-op,905000,1,2,South Beach,818,15
Condo/Co-op,790000,1,1,Yerba Buena,677,14
Condo/Co-op,725000,1,1,Noe Valley,902,90
Condo/Co-op,845000,1,1,Bernal Heights,713,118
Condo/Co-op,470000,1,1,Bernal Heights,901,56
Condo/Co-op,680000,1,1,Hayes Valley,453,118
Condo/Co-op,935000,1,1,North Panhandle,1036,93
Condo/Co-op,875000,1,1,Lone Mountain,754,54
Condo/Co-op,908000,1,1,South Beach,691,14
Condo/Co-op,383339,1,1,South Beach,827,16
Condo/Co-op,779000,1,1,South of Market,603,0
Condo/Co-op,715000,1,1,North Waterfront,657,25
Condo/Co-op,879000,1,2,Inner Mission,955,18
Condo/Co-op,880000,1,1,Nob Hill,600,55
Condo/Co-op,380000,1,1,South of Market,564,13
Condo/Co-op,272822,1,1,South Beach,1050,14
Condo/Co-op,620000,1,1,North Waterfront,582,25
Condo/Co-op,935000,1,1.5,South of Market,978,17
Condo/Co-op,750000,1,1,Financial District,565,109
Condo/Co-op,790000,1,1,Yerba Buena,642,104
Condo/Co-op,820000,1,1,Twin Peaks,703,54
Condo/Co-op,625000,1,1,Outer Richmond,554,28
Condo/Co-op,356261,1,1,Potrero Hill,545,11
Condo/Co-op,860000,1,1,South Beach,710,10
Condo/Co-op,800000,1,1,South Beach,733,12
Condo/Co-op,825000,1,1,Cow Hollow,820,89
Condo/Co-op,950000,1,2,Russian Hill,918,88
Condo/Co-op,878000,1,1,Central Waterfront,743,0
Condo/Co-op,878000,1,1,,764,0
Condo/Co-op,874000,1,1,Central Waterfront,741,0
Condo/Co-op,900000,1,1,Potrero Hill,690,11
Condo/Co-op,875000,1,1,Mission Dolores,867,32
Condo/Co-op,792000,1,1,Hayes Valley,643,4
Condo/Co-op,847500,1,1.5,Central Waterfront,1204,19
Condo/Co-op,851000,1,1,Pacific Heights,653,31
Condo/Co-op,749000,1,1,Van Ness/Civic Center,679,11
Condo/Co-op,940000,1,1,Cow Hollow,700,96
